관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,설치년월,위도,경도
서울특별시 서초구청,서울특별시 서초구 사평대로371,서울특별시 서초구 반포1동 748-14,교통단속,1,2017-06,37.5044030000,127.0237620000
서울특별시 서초구청,서울특별시 서초구 주홍3길,서울특별시 서초구 반포1동 743,교통단속,1,2017-12,37.5042030000,127.0191700000
서울특별시 서초구청,서울특별시 서초구 신반포로 270,서울특별시 서초구 반포1동 20-43,교통단속,1,2017-06,37.5052780000,127.0135450000
서울특별시 서초구청,서울특별시 서초구,서울특별시 서초구 방배동 산129-2,재난재해,1,2017-07,37.4763200000,126.9822080000
서울특별시 서초구청,서울특별시 서초구 신반포로19길23,서울특별시 서초구 반포2동 6-1,교통단속,1,2017-11,37.5048080000,126.9958740000
서울특별시 서초구청,서울특별시 서초구 신반포로100,서울특별시 서초구 반포2동 18-4,교통단속,1,2017-06,37.5030920000,126.9953170000
서울특별시 서초구청,서울특별시 서초구 반포대로275,서울특별시 서초구 반포2동 18-2,교통단속,1,2017-06,37.5019620000,126.9954630000
서울특별시 서초구청,서울특별시 서초구 신반포로16길15-25,서울특별시 서초구 반포2동 16-4,교통단속,1,2017-12,37.5017850000,126.9973250000
서울특별시 서초구청,서울특별시 서초구 신반포로15길 29,서울특별시 서초구 반포동 2-8,교통단속,1,2017-06,37.5053460000,126.9938710000
서울특별시 서초구청,서울특별시 서초구 신반포로15길 29,서울특별시 서초구 반포동 2-8,교통단속,1,2017-06,37.5058200000,126.9950030000
서울특별시 서초구청,서울특별시 서초구 신반포19길10,서울특별시 서초구 잠원동 72-2,교통단속,1,2017-11,37.5084830000,127.0033780000
서울특별시 서초구청,서울특별시 서초구 잠원로69,서울특별시 서초구 잠원동 70-1,교통단속,1,2017-06,37.5103350000,127.0071760000
서울특별시 서초구청,서울특별시 서초구 신반포로33길15,서울특별시 서초구 잠원동 157,교통단속,1,2017-11,37.5088590000,127.0112470000
서울특별시 서초구청,서울특별시 서초구 반포대로300-3,서울특별시 서초구 잠원동 76-7,교통단속,1,2017-06,37.5057970000,127.0016310000
서울특별시 서초구청,서울특별시 서초구 반포대로41,서울특별시 서초구 잠원동 73,교통단속,1,2017-11,37.5087730000,126.9995930000
서울특별시 서초구청,서울특별시 서초구 신반포로33길39,서울특별시 서초구 잠원동 66-1,교통단속,1,2017-06,37.5112020000,127.0099200000
서울특별시 서초구청,서울특별시 서초구 신반포로33길23,서울특별시 서초구 잠원동 66-2,교통단속,1,2017-11,37.5102330000,127.0104720000
서울특별시 서초구청,서울특별시 서초구 신반포로177,서울특별시 서초구 반포3동 75-15,교통단속,1,2017-06,37.5057290000,127.0030080000
서울특별시 서초구청,서울특별시 서초구 신반포로190,서울특별시 서초구 반포4동 19-13,교통단속,1,2017-11,37.5063150000,127.0059880000
서울특별시 서초구청,서울특별시 서초구 서초중앙로33길,서울특별시 서초구 반포4동 51-5,교통단속,1,2017-11,37.5012700000,127.0113600000
서울특별시 서초구청,서울특별시 서초구 서운로23길 17,서울특별시 서초구 서초4동 1313-17,생활방범,3,2017-03,37.4990390000,127.0207100000
서울특별시 서초구청,서울특별시 서초구 서초대로65길 13-18,서울특별시 서초구 서초4동 1686-2,생활방범,4,2017-03,37.4972240000,127.0186220000
서울특별시 서초구청,서울특별시 서초구 강남대로 415,서울특별시 서초구 서초4동 1306-8,생활방범,3,2017-03,37.4994420000,127.0267000000
서울특별시 서초구청,서울특별시 서초구 강남대로 419,서울특별시 서초구 서초4동 1306-6,생활방범,3,2017-03,37.4999480000,127.0264310000
서울특별시 서초구청,서울특별시 서초구 강남대로 423,서울특별시 서초구 서초4동 1306-3,생활방범,3,2017-03,37.5004740000,127.0261760000
서울특별시 서초구청,서울특별시 서초구 강남대로65길 1,서울특별시 서초구 서초4동 1306-1,생활방범,3,2017-03,37.5007080000,127.0260630000
서울특별시 서초구청,서울특별시 서초구 강남대로 459,서울특별시 서초구 서초4동 1303-34,생활방범,3,2017-03,37.5033220000,127.0247220000
서울특별시 서초구청,서울특별시 서초구 서초대로77길 19,서울특별시 서초구 서초4동 1307-23,생활방범,4,2017-11,37.4992280000,127.0256610000
서울특별시 서초구청,서울특별시 서초구 -,서울특별시 서초구 서초4동 1311-1,생활방범,1,2017-09,37.5005180000,127.0195660000
