사고번호,발생일시,발생요일,발생시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자차종,가해운전자성별,가해운전자연령,가해운전자상해정도,피해운전자차종,피해운전자성별,피해운전자연령,피해운전자상해정도,위도,경도
2.0170302E15,2017030212,목요일,서울특별시 강동구 천호동,사망사고,1,0,1,0,차대사람 - 횡단중,보행자보호의무위반,포장 - 건조,맑음,단일로 - 기타,자전,남,76세,사망,보행자,여,44세,경상,37.53590572,127.1332227
2.0170304E15,2017030411,토요일,서울특별시 강동구 상일동,사망사고,1,0,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전,남,72세,사망,건설기,남,45세,상해없음,37.55717234,127.1711833
2.0170305E15,2017030506,일요일,서울특별시 강서구 화곡동,사망사고,1,0,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,60세,사망,,,,,37.52714563,126.84248597
2.0170307E15,2017030705,화요일,서울특별시 관악구 남현동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,여,32세,상해없음,보행자,여,80세,사망,37.47403919,126.97614248
2.0170307E15,2017030709,화요일,서울특별시 동대문구 휘경동,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전,남,74세,사망,건설기,남,53세,상해없음,37.59449623,127.06500307
2.0170308E15,2017030820,수요일,서울특별시 강남구 개포동,사망사고,1,1,0,1,차대차 - 추돌,과속,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,58세,부상신고,승용,여,40세,중상,37.47618095,127.05919795
2.0170309E15,2017030923,목요일,서울특별시 강북구 수유동,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로횡단,이륜,남,30세,상해없음,이륜,남,61세,사망,37.6334615,127.02307973
2.017031E15,2017031014,금요일,서울특별시 마포구 합정동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단,특수,남,53세,상해없음,보행자,여,85세,사망,37.54901817,126.9137729
2.017032E15,2017032015,월요일,서울특별시 서초구 양재동,사망사고,1,0,0,0,차대차 - 추돌,차로위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,45세,상해없음,이륜,남,26세,사망,37.46760141,127.04064582
2.017032E15,2017032021,월요일,서울특별시 강남구 일원동,사망사고,1,0,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,35세,상해없음,자전거,남,51세,사망,37.49187097,127.09364184
2.017033E15,2017033002,목요일,서울특별시 송파구 가락동,사망사고,1,0,0,0,차량단독 - 주/정차차량 충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,26세,사망,,,,,37.49602745,127.12678851
2.0170402E15,2017040205,일요일,서울특별시 서초구 양재동,사망사고,1,0,0,0,차대사람 - 횡단중,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,38세,상해없음,보행자,남,80세,사망,37.46859918,127.03993858
2.0170405E15,2017040505,수요일,서울특별시 노원구 상계동,사망사고,1,0,1,0,차대차 - 기타,안전거리미확보,포장 - 건조,흐림,단일로 - 터널,승용,남,44세,사망,화물,남,62세,경상,37.67664241,127.08704551
2.0170406E15,2017040603,목요일,서울특별시 광진구 중곡동,사망사고,2,0,0,0,차대차 - 측면충돌,중앙선침범,포장 - 젖음,비,단일로 - 기타,원동,남,56세,사망,승용,남,57세,상해없음,37.56995262,127.07995762
2.0170407E15,2017040714,금요일,서울특별시 동작구 동작동,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 건조,맑음,기타 - 기타,원동,남,73세,사망,,,,,37.50492437,126.97313216
2.0170407E15,2017040721,금요일,서울특별시 도봉구 방학동,사망사고,1,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,원동,남,65세,사망,승용,여,37세,중상,37.66292069,127.03985307
2.0170407E15,2017040723,금요일,서울특별시 마포구 도화동,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,31세,상해없음,보행자,남,30세,사망,37.54097168,126.94796429
2.0170409E15,2017040902,일요일,서울특별시 강동구 성내동,사망사고,1,0,0,0,차대사람 - 횡단중,과속,포장 - 젖음,비,기타 - 기타,승용,남,63세,상해없음,보행자,남,47세,사망,37.53421477,127.13730568
2.017042E15,2017042002,목요일,서울특별시 송파구 가락동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,69세,상해없음,보행자,남,56세,사망,37.50548987,127.10676044
2.017043E15,2017043000,일요일,서울특별시 영등포구 양평동2가,사망사고,1,1,0,0,차량단독 - 공작물충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승합,남,61세,사망,,,,,37.52103148,126.88198888
2.017043E15,2017043006,일요일,서울특별시 강북구 번동,사망사고,1,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,승용,남,27세,중상,승용,남,69세,상해없음,37.62996881,127.04242492
2.0170501E15,2017050100,월요일,서울특별시 구로구 가리봉동,사망사고,1,1,1,0,차대사람 - 차도통행중,과속,포장 - 건조,맑음,단일로 - 기타,이륜,남,22세,중상,보행자,남,51세,사망,37.47838583,126.89541469
2.0170503E15,2017050300,수요일,서울특별시 용산구 이촌동,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,24세,사망,,,,,37.51986567,126.98261208
2.0170504E15,2017050414,목요일,서울특별시 양천구 신월동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,64세,상해없음,보행자,여,80세,사망,37.5181896,126.84471462
2.0170504E15,2017050423,목요일,서울특별시 강북구 수유동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,보행자,여,80세,사망,37.63122317,127.01790341
2.0170506E15,2017050604,토요일,서울특별시 성북구 동소문동3가,사망사고,1,0,0,0,차량단독 - 전도전복 - 전도,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,이륜,남,25세,사망,,,,,37.59124408,127.01239588
2.0170506E15,2017050614,토요일,서울특별시 동작구 대방동,사망사고,1,0,1,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로부근,원동,여,27세,사망,승합,여,54세,상해없음,37.51322959,126.92931733
2.0170506E15,2017050622,토요일,서울특별시 성동구 행당동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단,화물,남,70세,상해없음,보행자,남,77세,사망,37.55813638,127.03901501
2.0170507E15,2017050710,일요일,서울특별시 성동구 상왕십리동,사망사고,1,0,0,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,승용,남,75세,상해없음,보행자,남,61세,사망,37.56581051,127.02403224
2.0170601E15,2017060123,목요일,서울특별시 동작구 신대방동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승합,남,59세,상해없음,보행자,남,35세,사망,37.4864626,126.90440994
2.0170602E15,2017060203,금요일,서울특별시 용산구 이촌동,사망사고,1,1,0,0,차대사람 - 차도통행중,과속,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,보행자,남,75세,사망,37.52153781,126.96166593
2.0170603E15,2017060321,토요일,서울특별시 강서구 방화동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,기타 - 기타,이륜,남,17세,상해없음,보행자,남,65세,사망,37.56461836,126.81153922
2.0170604E15,2017060414,일요일,서울특별시 강남구 개포동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,46세,상해없음,보행자,여,90세,사망,37.48432015,127.05197893
2.0170605E15,2017060516,월요일,서울특별시 강동구 고덕동,사망사고,1,0,0,0,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,60세,상해없음,보행자,남,76세,사망,37.55766834,127.16486336
2.0170609E15,2017060901,금요일,서울특별시 강남구 개포동,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,25세,사망,승용,남,54세,상해없음,37.47376123,127.04856997
2.017062E15,2017062008,화요일,서울특별시 송파구 가락동,사망사고,1,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로횡단,승합,남,62세,상해없음,자전거,남,74세,사망,37.49769627,127.11318189
2.017062E15,2017062011,화요일,서울특별시 용산구 한강로3가,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,23세,상해없음,보행자,여,59세,사망,37.52493562,126.96736685
2.017063E15,2017063017,금요일,서울특별시 영등포구 영등포동,사망사고,1,1,0,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 교량,이륜,남,60세,사망,화물,남,43세,상해없음,37.51499339,126.90678586
2.0170702E15,2017070213,일요일,서울특별시 서초구 양재동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음,흐림,단일로 - 기타,승용,남,31세,상해없음,보행자,여,77세,사망,37.47878517,127.04009104
2.0170703E15,2017070300,월요일,서울특별시 송파구 장지동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 젖음,비,교차로 - 교차로부근,승합,남,37세,상해없음,보행자,남,59세,사망,37.47552196,127.12695836
2.0170703E15,2017070313,월요일,서울특별시 종로구 체부동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,37세,상해없음,보행자,여,82세,사망,37.57818924,126.97181226
2.0170705E15,2017070502,수요일,서울특별시 노원구 상계동,사망사고,1,0,0,0,차대사람 - 차도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,69세,상해없음,보행자,남,74세,사망,37.65439833,127.05506294
2.0170705E15,2017070522,수요일,서울특별시 구로구 오류동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,화물,남,38세,상해없음,보행자,남,47세,사망,37.49753399,126.84694279
2.0170706E15,2017070621,목요일,서울특별시 서대문구 북가좌동,사망사고,1,0,0,0,차대차 - 측면충돌,신호위반,포장 - 건조,맑음,교차로 - 교차로안,승합,남,47세,상해없음,이륜,남,33세,사망,37.57436163,126.90608874
2.0170709E15,2017070914,일요일,서울특별시 서초구 원지동,사망사고,2,4,9,1,차대차 - 추돌,안전운전불이행,포장 - 젖음,비,단일로 - 기타,승합,남,50세,상해없음,승용,남,57세,사망,37.45567212,127.04749039
2.017072E15,2017072000,목요일,서울특별시 도봉구 도봉동,사망사고,1,0,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,자전거,남,54세,사망,37.67086143,127.0398494
2.0170801E15,2017080117,화요일,서울특별시 구로구 개봉동,사망사고,1,0,0,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승합,남,46세,상해없음,보행자,여,77세,사망,37.49811138,126.85194943
